Date,State,Category,Dollars,LastYear
2019-10-06,Alabama,Alcohol,22953354,21954674
2019-10-13,Alabama,Alcohol,22602265,22899768
2019-10-20,Alabama,Alcohol,21287668,20505733
2019-10-27,Alabama,Alcohol,21414815,19691160
2019-11-03,Alabama,Alcohol,22763080,22064751
2019-11-10,Alabama,Alcohol,21724584,19368817
2019-11-17,Alabama,Alcohol,21352248,19448194
2019-11-24,Alabama,Alcohol,21474712,22941842
2019-12-01,Alabama,Alcohol,26995827,19052782
2019-12-08,Alabama,Alcohol,19885242,18362082
2019-12-15,Alabama,Alcohol,20026760,18296720
2019-12-22,Alabama,Alcohol,23111017,21152023
2019-12-29,Alabama,Alcohol,24605768,22376391
2020-01-05,Alabama,Alcohol,20890280,18997812
2020-01-12,Alabama,Alcohol,18918310,18062733
2020-01-19,Alabama,Alcohol,19792865,17588762
2020-01-26,Alabama,Alcohol,19161902,17941156
2020-02-02,Alabama,Alcohol,20089760,19118118
2020-02-09,Alabama,Alcohol,20290212,19366126
2020-02-16,Alabama,Alcohol,20802849,19027590
2020-02-23,Alabama,Alcohol,19830536,19332114
2020-03-01,Alabama,Alcohol,20562169,20486391
2020-03-08,Alabama,Alcohol,20999503,19908997
2020-03-15,Alabama,Alcohol,25489124,19772926
2020-03-22,Alabama,Alcohol,26013540,20759015
2020-03-29,Alabama,Alcohol,24474383,21786851
2020-04-05,Alabama,Alcohol,26981466,21420984
2020-04-12,Alabama,Alcohol,24290762,21374196
2020-04-19,Alabama,Alcohol,25299881,21302130
2020-04-26,Alabama,Alcohol,26279762,21686969
2020-05-03,Alabama,Alcohol,27860188,22794576
2020-05-10,Alabama,Alcohol,27315384,21368905
2020-05-17,Alabama,Alcohol,27907653,22430365
2020-05-24,Alabama,Alcohol,29098605,24679850
2020-05-31,Alabama,Alcohol,27638120,23312185
2020-06-07,Alabama,Alcohol,27696963,22091697
2020-06-14,Alabama,Alcohol,26732879,23157449
2020-06-21,Alabama,Alcohol,27489333,22761985
2020-06-28,Alabama,Alcohol,26211027,23154859
2020-07-05,Alabama,Alcohol,28646165,27872447
2020-07-12,Alabama,Alcohol,25028854,21974341
2020-07-19,Alabama,Alcohol,25687032,22645914
2020-07-26,Alabama,Alcohol,24648926,22865437
2020-08-02,Alabama,Alcohol,25133181,23258754
2020-08-09,Alabama,Alcohol,26271804,22954411
2020-08-16,Alabama,Alcohol,25556930,23916361
2020-08-23,Alabama,Alcohol,25185202,22775823
2020-08-30,Alabama,Alcohol,22963254,24721382
2020-09-06,Alabama,Alcohol,26432846,24893371
2020-09-13,Alabama,Alcohol,25331724,23871344
2020-09-20,Alabama,Alcohol,23994065,23241977
2020-09-27,Alabama,Alcohol,24608506,23984702
